Hydrogen	H	1	13	5	1.0079	-259	-253	0.09	1776	13.5984	7	0
Helium	He	2	64	5	4.0026	-272	-269	0.18	1895	24.5874	9	0
Lithium	Li	3	13	7	6.941	180	1347	0.53	1817	5.3917	0	2
Beryllium	Be	4	16	7	9.0122	1278	2970	1.85	1797	9.3227	1	2
Boron	B	5	49	7	10.811	2300	2550	2.34	1808	8.298	10	2
Carbon	C	6	52	7	12.0107	3500	4827	2.26	0	11.2603	7	2
Nitrogen	N	7	55	7	14.0067	-210	-196	1.25	1772	14.5341	7	0
Oxygen	O	8	58	7	15.9994	-218	-183	1.43	1774	13.6181	7	0
Fluorine	F	9	61	7	18.9984	-220	-188	1.7	1886	17.4228	8	0
Neon	Ne	10	64	7	20.1797	-249	-246	0.9	1898	21.5645	9	0
Sodium	Na	11	13	9	22.9897	98	883	0.97	1807	5.1391	0	2
Magnesium	Mg	12	16	9	24.305	639	1090	1.74	1755	7.6462	1	2
Aluminium	Al	13	49	9	26.9815	660	2467	2.7	1825	5.9858	5	2
Silicon	Si	14	52	9	28.0855	1410	2355	2.33	1824	8.1517	10	2
Phosphorus	P	15	55	9	30.9738	44	280	1.82	1669	10.4867	7	2
Sulphur	S	16	58	9	32.065	113	445	2.07	0	10.36	7	2
Chlorine	Cl	17	61	9	35.453	-10	-35	3.32	1774	12.9676	8	0
Argon	Ar	18	64	9	39.948	-189	-186	1.78	1894	15.7596	9	0
Potassium	K	19	13	11	39.0983	64	774	0.86	1807	4.3407	0	2
Calcium	Ca	20	16	11	40.078	839	1484	1.55	1808	6.1132	1	2
Scandium	Sc	21	19	11	44.9559	1539	2832	2.99	1879	6.5615	4	2
Titanium	Ti	22	22	11	47.867	1660	3287	4.54	1791	6.8281	4	2
Vanadium	V	23	25	11	50.9415	1890	3380	6.11	1830	6.7462	4	2
Chromium	Cr	24	28	11	51.9961	1857	2672	7.19	1797	6.7665	4	2
Manganese	Mn	25	31	11	54.938	1245	1962	7.43	1774	7.434	4	2
Iron	Fe	26	34	11	55.845	1535	2750	7.87	0	7.9024	4	2
Cobalt	Co	27	37	11	58.9332	1495	2870	8.9	1735	7.881	4	2
